src,dest,pathway
7099,353376,R-HSA-140534
7099,100302736,R-HSA-140534
7099,148022,R-HSA-140534
7099,23643,R-HSA-140534
8797,8837,R-HSA-140534
8797,8743,R-HSA-140534
8797,8772,R-HSA-140534
8797,841,R-HSA-140534
8795,8837,R-HSA-140534
8795,8743,R-HSA-140534
8795,8772,R-HSA-140534
8795,841,R-HSA-140534
8837,8797,R-HSA-140534
8837,8795,R-HSA-140534
8837,355,R-HSA-140534
8837,356,R-HSA-140534
8837,8743,R-HSA-140534
8837,7186,R-HSA-140534
8837,8772,R-HSA-140534
8837,8737,R-HSA-140534
8837,841,R-HSA-140534
8837,8717,R-HSA-140534
929,7099,R-HSA-140534
929,353376,R-HSA-140534
929,100302736,R-HSA-140534
929,148022,R-HSA-140534
929,23643,R-HSA-140534
355,8837,R-HSA-140534
355,356,R-HSA-140534
355,8772,R-HSA-140534
355,841,R-HSA-140534
356,8837,R-HSA-140534
356,8772,R-HSA-140534
356,841,R-HSA-140534
7186,8837,R-HSA-140534
7186,8772,R-HSA-140534
7186,8737,R-HSA-140534
7186,841,R-HSA-140534
7186,8717,R-HSA-140534
8772,7099,R-HSA-140534
8772,8837,R-HSA-140534
8772,929,R-HSA-140534
8772,8743,R-HSA-140534
8772,841,R-HSA-140534
8772,353376,R-HSA-140534
8772,100302736,R-HSA-140534
8772,148022,R-HSA-140534
8772,23643,R-HSA-140534
8737,7099,R-HSA-140534
8737,8837,R-HSA-140534
8737,929,R-HSA-140534
8737,8772,R-HSA-140534
8737,841,R-HSA-140534
8737,8717,R-HSA-140534
8737,353376,R-HSA-140534
8737,100302736,R-HSA-140534
8737,148022,R-HSA-140534
8737,23643,R-HSA-140534
841,7099,R-HSA-140534
841,8797,R-HSA-140534
841,8795,R-HSA-140534
841,8837,R-HSA-140534
841,929,R-HSA-140534
841,355,R-HSA-140534
841,356,R-HSA-140534
841,8743,R-HSA-140534
841,7186,R-HSA-140534
841,8772,R-HSA-140534
841,8737,R-HSA-140534
841,8717,R-HSA-140534
841,353376,R-HSA-140534
841,100302736,R-HSA-140534
841,148022,R-HSA-140534
841,23643,R-HSA-140534
8717,8837,R-HSA-140534
8717,8772,R-HSA-140534
8717,841,R-HSA-140534
148022,353376,R-HSA-140534
148022,100302736,R-HSA-140534
23643,353376,R-HSA-140534
23643,100302736,R-HSA-140534
23643,148022,R-HSA-140534
920,915,R-HSA-202430
920,917,R-HSA-202430
920,919,R-HSA-202430
920,7535,R-HSA-202430
3122,920,R-HSA-202430
3122,915,R-HSA-202430
3122,3932,R-HSA-202430
3122,916,R-HSA-202430
3122,917,R-HSA-202430
3122,919,R-HSA-202430
3122,7535,R-HSA-202430
3118,920,R-HSA-202430
3118,915,R-HSA-202430
