node_id,gene_id
0,2
1,10
2,12
3,13
4,14
5,15
6,18
7,19
8,20
9,21
10,23
11,24
12,25
13,27
14,28
15,29
16,30
17,31
18,33
19,34
20,35
21,36
22,37
23,38
24,39
25,43
26,47
27,48
28,49
29,51
30,52
31,53
32,54
33,56
34,58
35,59
36,60
37,70
38,71
39,72
40,81
41,86
42,87
43,88
44,89
45,90
46,91
47,92
48,93
49,94
50,95
51,97
52,98
53,100
54,101
55,102
56,103
57,104
58,105
59,107
60,108
61,112
62,113
63,115
64,116
65,117
66,118
67,119
68,120
69,128
70,130
71,132
72,133
73,135
74,136
75,140
76,141
77,142
78,143
79,146
80,147
81,148
82,150
83,151
84,152
85,154
86,155
87,158
88,161
89,162
90,163
91,164
92,165
93,167
94,175
95,176
96,177
97,178
98,181
99,182
100,183
101,185
102,189
103,191
104,196
105,197
106,199
107,203
108,204
109,207
110,208
111,210
112,211
113,214
114,217
115,218
116,219
117,220
118,221
119,223
120,224
121,225
122,226
123,229
124,230
125,231
126,238
127,239
128,240
129,241
130,242
131,246
132,247
133,248
134,249
135,250
136,257
137,258
138,259
139,262
140,267
141,268
142,269
143,270
144,271
145,272
146,273
147,274
148,275
149,283
150,284
151,285
152,286
153,287
154,288
155,290
156,291
157,301
158,302
159,307
160,308
161,309
162,310
163,311
164,312
165,313
166,314
167,316
168,317
169,318
170,320
171,321
172,322
173,323
174,324
175,325
176,326
177,327
178,328
179,329
180,330
181,332
182,333
183,334
184,335
185,336
186,337
187,338
188,339
189,341
190,344
191,345
192,346
193,347
194,348
195,350
196,351
197,353
198,354
199,355
200,356
201,358
202,359
203,360
204,361
205,362
206,364
207,366
208,372
209,373
210,375
211,377
212,378
213,379
214,381
215,382
216,383
217,384
218,387
219,388
220,389
221,390
222,391
223,392
224,394
225,396
226,397
227,398
228,399
229,400
230,401
231,402
232,403
233,406
234,409
235,410
236,417
237,419
238,420
239,421
240,427
241,429
242,430
243,432
244,433
245,434
246,435
247,440
248,443
249,444
250,445
251,460
252,462
253,463
254,466
255,467
256,468
257,471
258,472
259,473
260,474
261,475
262,476
263,478
264,479
265,481
266,482
267,483
268,486
269,487
270,488
271,489
272,490
273,491
274,493
275,495
276,496
277,501
278,523
279,525
280,526
281,527
282,528
283,529
284,533
285,534
286,535
287,540
288,545
289,547
290,549
291,550
292,551
293,552
294,553
295,558
296,563
297,566
298,567
299,571
300,572
301,573
302,578
303,580
304,581
305,585
306,586
307,587
308,593
309,594
310,595
311,596
312,597
313,598
314,599
315,602
316,604
317,605
318,607
319,608
320,610
321,611
322,613
323,617
324,622
325,623
326,624
327,627
328,629
329,631
330,632
331,634
332,635
333,636
334,637
335,638
336,639
337,640
338,641
339,642
340,644
341,645
342,646
343,648
344,649
345,650
346,651
347,652
348,654
349,655
350,657
351,658
352,659
353,661
354,662
355,663
356,664
357,665
358,667
359,668
360,669
361,670
362,671
363,672
364,673
365,675
366,676
367,677
368,678
369,684
370,686
371,687
372,688
373,689
374,694
375,696
376,699
377,701
378,705
379,706
380,708
381,710
382,712
383,713
384,716
385,717
386,718
387,719
388,722
389,725
390,726
391,727
392,728
393,729
394,730
395,731
396,733
397,734
398,735
399,740
400,741
401,744
402,752
403,754
404,757
405,760
406,761
407,762
408,763
409,765
410,766
411,768
412,770
413,771
414,773
415,775
416,776
417,779
418,780
419,781
420,782
421,783
422,784
423,785
424,786
425,788
426,790
427,793
428,794
429,796
430,797
431,799
432,800
433,801
434,805
435,808
436,810
437,811
438,813
439,814
440,815
441,818
442,819
443,820
444,821
445,822
446,823
447,825
448,826
449,829
450,830
451,832
452,834
453,835
454,836
455,837
456,838
457,839
458,840
459,841
460,842
461,843
462,844
463,845
464,847
465,857
466,858
467,859
468,860
469,861
470,862
471,863
472,864
473,865
474,866
475,867
476,868
477,873
478,874
479,875
480,881
481,885
482,886
483,887
484,889
485,890
486,891
487,892
488,894
489,899
490,900
491,901
492,902
493,905
494,908
495,909
496,910
497,911
498,912
499,913
500,914
501,915
502,916
503,917
