Epoch  6 | Test_Loss  0.7069454038 | Test_ACC  0.516 | Test_AUC  0.538 | Test_F1_score  0.681 | Test_Sens  1.000 | Test_Spec  0.000
Epoch  6 | Test_Loss  0.7020808458 | Test_ACC  0.523 | Test_AUC  0.450 | Test_F1_score  0.684 | Test_Sens  1.000 | Test_Spec  0.014
Epoch  7 | Test_Loss  0.6960539066 | Test_ACC  0.510 | Test_AUC  0.503 | Test_F1_score  0.675 | Test_Sens  0.987 | Test_Spec  0.000
Epoch  8 | Test_Loss  0.7016505133 | Test_ACC  0.523 | Test_AUC  0.536 | Test_F1_score  0.684 | Test_Sens  1.000 | Test_Spec  0.014
Epoch  6 | Test_Loss  0.7038394213 | Test_ACC  0.523 | Test_AUC  0.509 | Test_F1_score  0.684 | Test_Sens  1.000 | Test_Spec  0.014
Epoch  7 | Test_Loss  0.7040233742 | Test_ACC  0.516 | Test_AUC  0.531 | Test_F1_score  0.681 | Test_Sens  1.000 | Test_Spec  0.000
Epoch  8 | Test_Loss  0.7042865442 | Test_ACC  0.516 | Test_AUC  0.508 | Test_F1_score  0.681 | Test_Sens  1.000 | Test_Spec  0.000
Epoch  9 | Test_Loss  0.7042554643 | Test_ACC  0.516 | Test_AUC  0.488 | Test_F1_score  0.681 | Test_Sens  1.000 | Test_Spec  0.000
Epoch 10 | Test_Loss  0.7045551253 | Test_ACC  0.516 | Test_AUC  0.463 | Test_F1_score  0.681 | Test_Sens  1.000 | Test_Spec  0.000
Epoch 11 | Test_Loss  0.6973259112 | Test_ACC  0.516 | Test_AUC  0.495 | Test_F1_score  0.681 | Test_Sens  1.000 | Test_Spec  0.000
Epoch 12 | Test_Loss  0.6992516647 | Test_ACC  0.516 | Test_AUC  0.507 | Test_F1_score  0.681 | Test_Sens  1.000 | Test_Spec  0.000
Epoch 13 | Test_Loss  0.7031014406 | Test_ACC  0.516 | Test_AUC  0.491 | Test_F1_score  0.681 | Test_Sens  1.000 | Test_Spec  0.000
Epoch 14 | Test_Loss  0.7020826495 | Test_ACC  0.516 | Test_AUC  0.528 | Test_F1_score  0.681 | Test_Sens  1.000 | Test_Spec  0.000
Epoch 15 | Test_Loss  0.7006301569 | Test_ACC  0.516 | Test_AUC  0.472 | Test_F1_score  0.681 | Test_Sens  1.000 | Test_Spec  0.000
Epoch 16 | Test_Loss  0.7015880424 | Test_ACC  0.516 | Test_AUC  0.498 | Test_F1_score  0.681 | Test_Sens  1.000 | Test_Spec  0.000
Epoch 17 | Test_Loss  0.7058374441 | Test_ACC  0.516 | Test_AUC  0.470 | Test_F1_score  0.681 | Test_Sens  1.000 | Test_Spec  0.000
Epoch 18 | Test_Loss  0.7018414010 | Test_ACC  0.516 | Test_AUC  0.559 | Test_F1_score  0.681 | Test_Sens  1.000 | Test_Spec  0.000
